Epoch 188, Loss= 1.386458
Epoch 189, Loss= 2.015789
Epoch 190, Loss= 1.217374
Epoch 191, Loss= 1.801905
Epoch 192, Loss= 3.027141
Epoch 193, Loss= 2.228012
Epoch 194, Loss= 1.881896
Epoch 195, Loss= 1.997040
Epoch 196, Loss= 1.365638
Epoch 197, Loss= 2.214887
Epoch 198, Loss= 2.127527
Epoch 199, Loss= 1.014287
Epoch 200, Loss= 1.261299
Epoch 201, Loss= 1.903233
Epoch 202, Loss= 1.226102
Epoch 203, Loss= 2.022878
Epoch 204, Loss= 1.369387
Epoch 205, Loss= 1.995408
Epoch 206, Loss= 2.186992
Epoch 207, Loss= 1.991521
Epoch 208, Loss= 2.908016
Epoch 209, Loss= 1.200114
Epoch 210, Loss= 1.771762
Epoch 211, Loss= 1.778123
Epoch 212, Loss= 1.636627
Epoch 213, Loss= 2.260978
Epoch 214, Loss= 1.803189
Epoch 215, Loss= 1.979167
Epoch 216, Loss= 1.517935
Epoch 217, Loss= 1.159081
Epoch 218, Loss= 1.973020
Epoch 219, Loss= 1.042827
Epoch 220, Loss= 1.693359
Epoch 221, Loss= 1.327442
Epoch 222, Loss= 1.752325
Epoch 223, Loss= 1.347431
Epoch 224, Loss= 1.606683
Epoch 225, Loss= 1.821379
Epoch 226, Loss= 2.136801
Epoch 227, Loss= 1.469327
Epoch 228, Loss= 0.994172
Epoch 229, Loss= 2.352066
Epoch 230, Loss= 2.247923
Epoch 231, Loss= 1.747545
Epoch 232, Loss= 1.171833
Epoch 233, Loss= 1.461486
Epoch 234, Loss= 1.786065
Epoch 235, Loss= 2.318727
Epoch 236, Loss= 1.029648
Epoch 237, Loss= 1.299780
Epoch 238, Loss= 1.007730
Epoch 239, Loss= 2.300586
Epoch 240, Loss= 1.478070
Epoch 241, Loss= 1.381782
Epoch 242, Loss= 1.609324
Epoch 243, Loss= 1.075322
Epoch 244, Loss= 1.014560
Epoch 245, Loss= 1.085578
Epoch 246, Loss= 1.439716
Epoch 247, Loss= 1.938649
Epoch 248, Loss= 1.273245
Epoch 249, Loss= 1.017935
Epoch 250, Loss= 1.274731
Epoch 251, Loss= 1.111705
Epoch 252, Loss= 1.535089
Epoch 253, Loss= 1.919495
Epoch 254, Loss= 1.241876
Epoch 255, Loss= 0.913760
Epoch 256, Loss= 2.125812
Epoch 257, Loss= 1.074850
Epoch 258, Loss= 1.238682
Epoch 259, Loss= 0.881096
Epoch 260, Loss= 1.071083
Epoch 261, Loss= 1.501503
Epoch 262, Loss= 1.595218
Epoch 263, Loss= 1.434684
Epoch 264, Loss= 0.754087
Epoch 265, Loss= 1.186516
Epoch 266, Loss= 1.097234
Epoch 267, Loss= 1.379147
Epoch 268, Loss= 1.397917
Epoch 269, Loss= 1.162326
Epoch 270, Loss= 2.255368
Epoch 271, Loss= 1.099375
Epoch 272, Loss= 1.235112
Epoch 273, Loss= 1.053121
